,Date,User,Tweet
23,2022-07-15 17:49:45+00:00,THILINA_SAND,"Who should be elected as the next president in the parliament?.🇱🇰                           If not one of these is please mentioned below.This is just a observation of how public opinion is.#lka #SlPresidency #GoHomeGota
@RW_UNP
@sajithpremadasa
@DullasOfficial
@anuradisanayake"
24,2022-07-15 17:43:19+00:00,arethusacader,"#SriLankaProtests Whilst the political situation is a mess, people continue to stand in queues and are struggling buying food at affordable prices. This is the immediate need. The initial proposal to have a temporary President and Cabinet until an election has been overlooked?"
25,2022-07-15 17:36:51+00:00,nuzlarizkiya,"As of now @ParliamentLK MP's
1. Dullas Alahapperuma 
2. Sajith Premadsa 
have announced that they intend to contest for the post of #SriLanka President following resignation of @GotabayaR 
#SriLankaCrisis #SriLankaProtests"
26,2022-07-15 17:36:02+00:00,shannine_daniel,"Opposition Leader Sajith Premadasa says he will contest for President (News First) 

#GoHomeGota2022 
#SriLankaCrisis"
27,2022-07-15 17:28:04+00:00,shreerajgudi,Thank you @talk1003uae for hosting me on panel #SriLankaCrisis #RadioNews #PoliticalTalk @micmanipal
28,2022-07-15 17:24:52+00:00,soysa007,"Who would you choose to be the next president of The Democratic Socialist Republic of Sri Lanka 🇱🇰 ?

🚨🚨🚨

#lka #srilanka #srilankacrisis #SriLankanpoliticalcrisis"
29,2022-07-15 17:14:59+00:00,editor_Ishwar,"No petrol, no diesel, people occupied Rashtrapati Bhavan, how will Asia Cup 2022 be like this! #SriLankaProtests #SriLankanpoliticalcrisis"
30,2022-07-15 17:11:44+00:00,PrabodOfficial,"I am contesting to be the President. Electorate is confined to 225 MPs with the GR coalition dominating the numbers. Even though it is an uphill struggle I am convinced that truth will prevail - @sajithpremadasa.
#lka #SriLankaCrisis"
31,2022-07-15 17:08:20+00:00,CitizenSL1,"Sri Lanka is the latest witness to the fact that countries that have taken racism into their hands have perished, Germany was destroyed by Hitler who embraced racism, Germany flourished when they abandoned racism and used knowledge #SriLankaProtests #SriLankaEconomicCrisis #lka"
32,2022-07-15 17:07:48+00:00,GrimesTweet,"What a Strange Coincidence,
When Ayodhya is being Reconstructed Lanka is Burning.

#SriLankaProtests #SriLankaEconomicCrisis"
33,2022-07-15 17:04:05+00:00,Becca__jp,"‼️“I am contesting to be the President”

- Opposition Leader @sajithpremadasa 

#lka #SriLanka #SriLankaProtests #ProtestsLK #SriLankaEconomicCrisis #SriLankaCrisis"
34,2022-07-15 16:50:32+00:00,ndtv,"#SriLankaCrisis | ""I am contesting to be the President... Even though it is an uphill struggle I am convinced that truth will prevail,"" tweets Leader of Opposition @sajithpremadasa"
35,2022-07-15 16:44:55+00:00,ChamiraAthauda,"RW is a Kissinger inspired 'realpolitik' ghoul. 

He will drive a wedge between the class division that has started to appear in the support for the Aragalaya - where the majority want social justice &amp; the middle classes want to afford cheese again.

1/2

#GoHomeGota"
36,2022-07-15 16:42:20+00:00,laksirisamitha,"A person from nowhere became the president of #SriLanka . 🤷🏻‍♂️ 

#SriLankaProtests #GoHomeGota #GoHomeRanil"
37,2022-07-15 16:41:53+00:00,KleimanIntCon,"#SriLankaProtests 2026 bond 25, 60% yield, #IMF talk indefinite adjourn. #pakistan 2027 issue ~20% yield, Fund $1 billion release pale v $35 billion 2023 external funding debt/import service scream. #Nepal rupee peg  127/$ low, June 45,000 tourists 1/2 #India. #EmergingMarkets"
38,2022-07-15 16:39:21+00:00,HarshKu11586693,"After a prolong protest of around 100 days, Gotabaya Rajapaksa resigns as Sri Lanka president . Moreover the situations is slightly in control and protestors are heading back leaving the President residence.
#SriLankaProtests"
39,2022-07-15 16:39:00+00:00,Remyantho,Who will be the next President #SriLankaProtests #SriLanka #lka
40,2022-07-15 16:33:53+00:00,pendi22k,Um - #SriLankaEconomicCrisis better be paying attention to #Argentina right now. Their protests are based on IMF recommendations increasing poverty 👀
41,2022-07-15 16:27:07+00:00,harini_1997,"Two families from Sri Lanka, including four adults and three children, arrived near Arichal Munai tonight, seeking refuge. #SriLankaEconomicCrisis

@NewIndianXpress @xpresstn"
42,2022-07-15 16:12:47+00:00,Judeoff,"Next President ? 🇱🇰

#lka #SriLanka #GoHomeRanil #NotMyPresident #ProtestsLK #SriLankaProtests #අරගලයටජය"
43,2022-07-15 16:03:32+00:00,tanmay171,"#SriLankaCrisis : #Rajapaksas barred from leaving the country, Lankan Supreme Court issues order.
One by One all of them are fleeing their country after letting #SriLanka down for their greed for power.
Is #Pakistan Next?"
44,2022-07-15 16:00:48+00:00,abdulthawwab,"Why should the leader always be a senior? Hasn't #SriLanka suffered immense from the #crisis.

We need no more grandpa's, we need youth to lead. A young leader who has a vision.

#SriLankaCrisis #GoHomeRanil #GotaWentHome #SriLankaEconomicCrisis #srilankadollarchallenge #lka #lk"
45,2022-07-15 15:59:10+00:00,Welikumbura,"GGG activists renamed #GotaGoGama to #RanilaGoGama &amp; demanding the illegitimate president Ranil to resign.

#lka #SriLanka #GoHomeRanil #NotMyPresident #ProtestsLK #SriLankaProtests #අරගලයටජය"
46,2022-07-15 15:57:32+00:00,rkamalraj,"#aragalaya people will support #cvvickneswaran as prime minister candidate ?, he is former high court judge. We can start System change from here. Will they ? @ARVLoshan, #SriLankaProtests #SriLankaEconomicCrisis #SriLankanCrisis"
47,2022-07-15 15:55:23+00:00,Vidiyallk,SLPP must support a candidate fielded by the SLPP and not any other external candidate - G.L.Peiris #lka #SriLanka #SriLankaCrisis
48,2022-07-15 15:54:13+00:00,lahiruat,"No more saviors please. Country needs long lasting, visionary policies not characters. 🤷

#SriLanka 
#SriLankaCrisis
#SriLankaEconomicCrisis
#SriLankaPoliticalCrisis
#justsaying"
49,2022-07-15 15:51:06+00:00,SharminiDNS,"Who gave Aragalaya permission to decide the future of this country on behalf of the entire nation?

#SriLanka #SriLankaCrisis"
50,2022-07-15 15:49:59+00:00,official_mh1997,"When #SriLanka is protesting for new leaders, why does the parliament want to elect the same corrupts politicians again? Steal more of the people's money? #SriLankaProtests #SriLankaCrisis #SriLankaEconomicCrisis #GoHomeGota2022 #GoHomeRanil #GoHomeRanil2022 #Aragalaya"
51,2022-07-15 15:46:16+00:00,official_mh1997,"There's no time to waste watching the same corrupts leaders coming into power again. Change now, if not when? #GotaGoHome2022 #GotaGoGama #GoHomeGota2022 #GoHomeRanil #GoHomeRanil2022 #Revolution #SriLanka #SriLankaProtests #SriLankaEconomicCrisis #Aragalaya #SayNoToCorruption"
52,2022-07-15 15:46:05+00:00,rkamalraj,"#SriLanka people always vote for new candidates (chandrika, Mahinda, maithripala &amp; Gatabaya) . They won't vote for known person. 
They want charismatic leaders, not a knowledgeable leader 
#SriLankaCrisis #SriLankaEconomicCrisis"
53,2022-07-15 15:42:45+00:00,PrabodOfficial,"SLPP must support a candidate fielded by the SLPP and not any other external candidate
- SLPP Chairman G. L. Peiris 
#lka #SriLankaCrisis"
54,2022-07-15 15:40:31+00:00,tamil_butterfly,"A 66-year-old man tried to jump into a well after Gotabaya Rajapaksa resigned from his post, according to a report from Thombe region. #GoHomeRani #GoHome225    #GoHomeGota #lka #අරගලයටජය #BRAKINGNEWS #SriLankaCrisis #SriLankaProtests #SriLankaEconomicCrisis #SriLankaToday"
55,2022-07-15 15:39:16+00:00,tiranjanb_,"Sri Lanka don't want an another joker😑
Please.. .
@sajithpremadasa
#SajithPremadasa
#SriLanka
#SriLankaCrisis
#SriLankaNews"
56,2022-07-15 15:25:15+00:00,red_sapphire1,"like sudan 🇸🇩 new intellectual must form the govt under the Constitution as srilanka.. 
Youth must make shure that their future must be more secure,ban all representatives more then two terms in office in govt #SriLankaProtests
#SriLankaProtests"
57,2022-07-15 15:24:45+00:00,DesiChittar,"#SriLankaProtests will result in #SriLanka growing rapidly in next 5-10years. No corrupt leader will dare stand in election. No corrupt general will dare modify election results.

If #Pakistan keeps going in same direction, WE WILL GO LOWER THAN AFRICAN COUNTRIES(God Forbid)"
58,2022-07-15 15:22:28+00:00,Nxddee,"If Ranil is sworn in as president then,
• He'll bring back the oldies (Johnston etc).
• Recover the image of the Rajapaksas so that Namal can come to power in the next election.

Say no to Dullas and Sarat as well!

#GoHomeRanil #lka #SriLanka #SriLankaProtests #gohomegota"
59,2022-07-15 15:16:13+00:00,PrabodOfficial,"A vessel carrying 40,000MT of diesel is expected to arrive in the island shortly. Full payment has already been made for the shipment - CPC
#lka #SriLankaCrisis"
60,2022-07-15 15:10:37+00:00,official_mh1997,People celebrated a hard won victory after Gotabaya Rajapaksa's official resignation from the presidential post. #SriLanka #SriLankaProtests #GoHomeGota #GoHomeGota2022 #GoHomeRanil #RanilGoHome #GoHomeRanil2022 #GotaGoHome2022
61,2022-07-15 15:09:51+00:00,IamSivaranjan,"The Supreme Court issues an interim order preventing former President #Mahinda Rajapaksa and former Minister #Basil Rajapaksa from leaving the country without court’s permission until the 28th of July.
#Lka #SriLanka #SriLankaProtests"
62,2022-07-15 15:07:42+00:00,official_mh1997,"Sajith Premadasa hopes to be elected as new PM after a new President is elected - in short, people do not want the same corrupts coming back into power again. #SriLanka #SriLankaProtests #srilankanews #GoHomeGota #GoHomeGota2022 #GoHomeRanil #RanilGoHome #GoHomeRanil2022"
63,2022-07-15 15:04:34+00:00,mikorox,"Hey guys on another note what if @UPGammanpila never said there is a fuel crisis ?

#ranilsgameplan #GotabayaRajapaksa  #SriLankaProtests"
64,2022-07-15 14:54:14+00:00,BlackMark400,"Uber eats notifications be like ""You forgot to order"" nah bro I just saw the prices and came to senses.#SriLankaEconomicCrisis"
65,2022-07-15 14:44:10+00:00,tamil_butterfly,"Man is the best of creatures.  But if law and justice are taken away from man, in the world
 He is also the worst creature

 -Aristotle 💖💖💖 #GoHomeRani #GoHome225    #GoHomeGota #lka #අරගලයටජය #BRAKINGNEWS #SriLankaCrisis #JackInTheBox #instagramdown"
66,2022-07-15 14:38:34+00:00,DellonJmusic,"Where is Johnston by the way? Have people forgotten about getting justice for what he did? 

#johnston #gohomegota #srilanka #colombo #aragalaya #gohomejohny #justice"
67,2022-07-15 14:36:07+00:00,ChrishanJay,"Who ever wins the presidency on 20th, I'm a happy soul but not for the correct reasons. Only because ""I told you so"".

I support any president that can suppress the anarchist who are against the IMF program. And I can only see 2 people in the whole 225. #SriLanka #SriLankaCrisis"
68,2022-07-15 14:26:09+00:00,UlfathUwais,SLPP says they will back @RW_UNP . SJB proposing @sajithpremadasa and Dallas announcing his candidacy. Only SF left to formally announce his candidacy. It’s an open race for Presidency on 20th. What’s your prediction? #SriLanka #SriLankaProtests
69,2022-07-15 14:13:55+00:00,tharangasiri,"Many deals and promises are being made today.

@RW_UNP @DullasOfficial @DCRGunawardena @sajithpremadasa @anuradisanayake 

#GoHomeRanil
#GoHomeRajapaksas"
