,Date,User,Tweet
32,2022-07-01 13:22:06+00:00,SriLanka_lka,"Strike initiated by railway trade unions called off.

 - Sri Lanka  Railways 

#lka #SriLankaCrisis"
33,2022-07-01 13:18:56+00:00,jeevaproduction,Change the government by stepping down @GotabayaR and you can change the fate of #SriLanka. Countries will not bail us out while you &amp; @RW_UNP are in power. You all are a liability not a solution &amp; the world leaders know it #SriLankaEconomicCrisis
34,2022-07-01 13:07:39+00:00,harshi_yapa,"Took the little one on the bus last week. Never again. Don't @ me with ""plenty of people take their kids on the bus"". Didn't do all this to put the little monkey thru that. 
#SriLankaCrisis"
35,2022-07-01 12:56:10+00:00,DunukeC,"90’s born generation in #LK had it all. 1. 2 decades civil war
2. 2 Cricket WCs
3. 2 Terms of presidency and 2 legitimate PM terms by #appachchi 
4. 2 jokers of presidents (#MY3, #GR)
5. Worst economy &amp; COVID
6. No Fuel, Little or no electricity 
#GotaGoHome double or nothing"
36,2022-07-01 12:48:31+00:00,Aqibmzm,"Last 5 -7 days i was trying to get a Pick-me and Uber ride, but there are none. 

No use of those apps. 

Only Buses available. Even Normal Tuk Tuk rides are tough to find. 

#Pickme
#Uber 

#GoHomeGota
#GoHomeRajapakshas"
37,2022-07-01 11:51:02+00:00,shamara4w,"Eventually, despite their resistance to it, we will have an election. How many of the voters will be conned into voting for the status quo again? Anyone aware of public voter education initiatives taking place or in the works? (1) #GoHomeGota #EconomicCrisisLK"
38,2022-07-01 11:50:50+00:00,harshan_hussain,"We didn’t want to migrate but stayed back to contribute towards the development of #lka. Got educated, built businesses, gave jobs, paid taxes etc. But for no fault of ours, today we suffer because of the mismanagement of @GotabayaR n his family.

#EconomicCrisisLK 
#GoHomeGota"
39,2022-07-01 11:49:01+00:00,VarmazoomIt,#SriLankaEconomicCrisis  I wonder how @OfficialSLC is hosting  australia &amp; crowd filled stadiums are cheering up them.. what is the truth. @official_Arnab_
40,2022-07-01 11:36:34+00:00,Stanfield72,"I’ve just paid £2.03.9 per litre of fuel. I feel sick to my stomach at the cost of living currently*
*I’m a wage earner in a good job. I work LTFT, I’m a single mum but if this carries on the hours may need to be raised! #CostOfLivingCrisis #FuelPrice #FuelCrisisLK #CostOfLiving"
41,2022-07-01 11:19:08+00:00,ahamednizar,Colombo &gt; Doha &gt; London flight includes a stop off in Muscat to fuel up. #SriLankaFuelCrisis #SriLankaEconomicCrisis
42,2022-07-01 11:10:32+00:00,SriLankaTweet,Despite the present crisis Trains will operate as usual subject to possible delays: GM Sri Lanka Railways- Hiru #LKA #FuelCrisisLK
43,2022-07-01 11:04:26+00:00,A_Wamanan,"Worrying!

#SriLanka: A young mother jumps into a lake in Embilipitiya with her two children; daughter (5) reported dead, mother &amp; son hospitalised
In June, a mother reportedly threw her son into the Kelani River, residents prevented her from taking her own life
#SriLankaCrisis"
44,2022-07-01 10:57:21+00:00,ThiwaLokuliyana,"Strike initiated by railway trade unions called off.

 - Sri Lanka  Railways 

#lka #SriLankaCrisis"
45,2022-07-01 10:55:21+00:00,AthaudaDasuni,"Strike initiated by railway trade unions called off.

 - Sri Lanka  Railways 

#lka #SriLankaCrisis"
46,2022-07-01 10:40:34+00:00,_dendrophile__,"Bloody blood suckers don't you have heart? This our country not your play ground to play with public
#gohomegota"
47,2022-07-01 10:25:54+00:00,ajan264,"Travel by bus.
20/- bus ticket is now 120/- 😳

#SriLanka 
#SriLankaEconomicCrisis"
48,2022-07-01 09:59:22+00:00,rushenwick,"Dear July, please let us resume traveling 🙏🏻 #SriLankaEconomicCrisis"
49,2022-07-01 09:56:11+00:00,sillymann1,"Politicians going on begging tours wearing Hublot watches, Salvatore ferragamo belts, Gucci shoes and Mont Blanc pen in the pocket, asking for a few dollars so the people don't starve to death.  #lka #FuelCrisisLK #SriLankaCrisis"
50,2022-07-01 09:40:14+00:00,Becca__jp,"‼️ A mother, aged 32, who jumped into the Chandrika Wewa in Embilipitiya with her two children, was rescued and hospitalised along with her 11y/o son, while her 05y/o daughter was reported dead

#lka #SriLanka #SriLankaCrisis #SriLankaEconomicCrisis"
51,2022-07-01 09:37:40+00:00,ZyedAfrin,"If Gota leaves, we will help. Qatar Action Announcement! Qatar is enraged by communal activities including Janaza burning.

#GoHomeGota #SriLankaCrisis #SriLankaProtests #srilanka #SLnews"
52,2022-07-01 09:26:59+00:00,Becca__jp,"⚡️ CEB warns of potential delays in restoring sudden electricity breakdowns, owing to the ongoing fuel crisis

#lka #SriLanka #SriLankaCrisis #SriLankaEconomicCrisis"
