,Date,User,Tweet
25,2022-08-14 06:54:59+00:00,realsujanroy,"We are literally draining our dollar to save Sri Lanka to get recover from ongoing economic crisis and we do continue it further to help Sri Lanka in this tough situation. But what did we get in return? 1/4 
#SriLanka 
#SriLankaCrisis 
#ChinaGlobalThreat"
26,2022-08-14 06:22:34+00:00,idkmanwhatver7,"What #SriLankan  people need to realize now and never forget, is that the #Police  and Military is NEVER your ""heroes"" they just do whatever the government tells them without objection. Kinda like the Gestapo. #GotaGoGama #gotagohome"
27,2022-08-14 04:45:11+00:00,PrabodOfficial,"The Sri Lankan Government has decided to lift the ban imposed on six International Tamil Organizations
The Defence Ministry said that an amendment was made to the List of Designated Persons under Regulation 4(7) of the United Nations Regulations No. 1 of 2012
#lka #SriLankaCrisis"
28,2022-08-14 04:38:53+00:00,Economynext,"Government Institutes, Organizations &amp; Businesses can now register multiple vehicles under one mobile number or multiple mobile numbers under one Business Registration Number (BRN), said Power and Energy Minister, @kanchana_wij. 

#SriLanka #SLNews #LKA #FuelCrisisLK #QRCode"
29,2022-08-14 04:33:06+00:00,MysteryLankan,"Dear Minister @kanchana_wij, any plans in the future to increase the fuel quota?
#FuelCrisisLK"
30,2022-08-14 04:31:49+00:00,imjeganG,"Sapugaskanda Oil Refinery will resume operations next week : Ministry of Power and Energy 
#Lka #SriLanka #FuelCrisisLK"
31,2022-08-14 04:14:34+00:00,Ashfark_Ahamed,An entry level smartphone has become 40k and it's impossible to find a new one. A flagship has become 7 to 8 lakh and impossible to afford. Second hand market is exploiting without price control. Phone companies are leaving the country 😑 #SriLankaCrisis
32,2022-08-14 03:22:18+00:00,SharminiDNS,"What exactly does ""System Change"" mean? Is it a JVP - SFP government? 

#SriLanka #lka #SriLankaProtests"
33,2022-08-14 01:49:35+00:00,PrabodOfficial,"The government is mulling summoning state employees to work over all five working days as a significant increase has been witnessed in individuals visiting offices seeking services. With the fuel shortage the number of employees reporting to work was limited.
#lka #SriLankaCrisis"
34,2022-08-13 18:49:07+00:00,finityfund,Chinese ballistic missile and satellite tracking ship - Yaun Wang 5 - given clearance to enter Hambantota Port from 16th to 22nd of August - Foreign Ministry #SriLankaEconomicCrisis #ChineseSpyShip
35,2022-08-13 18:30:03+00:00,TrendingLK,"Yesterday hot topics:
#SriLanka (17.16%)
#lka (11.25%)
#news (5.1%)
#SLnews (4.52%)
#SLCT20League (3.82%)
#adaderanasinhala (3.48%)
#News1st (3.01%)
#SriLankaCrisis (2.43%)
#EconomicCrisisLK (2.2%)
#Lankadeepa (1.62%)"
36,2022-08-13 18:24:59+00:00,SriLankanBuzz,"Today's Trending #Tags 13-8-2022. 1/5
       1. #India
       2. #SriLankaProtests
       3. #China
       4. #SriLankaCrisis
       5. #Chinese
       6. #News1st
       7. #Hambantota"
37,2022-08-13 18:20:51+00:00,YATHIyesudas,If the @iprdkerala keeps spending more money for projects like K-rail it will cause unnecessary damage to our state and make our debts higher and might even make our state like Sri Lanka. #SriLankaProtests #government
38,2022-08-13 17:19:55+00:00,msvithushan,"freshness &amp; stiffness of LKR notes explains it all.😅

#SriLankaCrisis #lka"
39,2022-08-13 17:12:40+00:00,sivakum90601187,#srilanka gave permission to yuan wang 5 #chinese ship. #katchatheevu given to srilanka against constitution. Time to retake that. @DrSJaishankar @PMOIndia #SriLankaCrisis
40,2022-08-13 16:58:53+00:00,vh1ne,"Why provide billions of dollars in aid,fuel , another few billions in form of soft loan when #SriLanka don't give a damn to our genuine security concerns?
@DrSJaishankar @MEAIndia @PMOIndia @PMOIndia #YuanWang5

 #SriLankaCrisis"
41,2022-08-13 16:20:44+00:00,fantasydeals,"Stop helping #srilankan government
They are so mean that they don't our country concern leave them in their own situation. They are cheater they cheated us and helped china
Cheater @sltda_srilanka @OfficialSLC @SriLankaTweet @SriLankaTelecom #SriLankaProtests @aajtak"
42,2022-08-13 16:10:35+00:00,meruguhemant,"Sri lanka allows Chinese spy ship in to its territory. Should India help Sri Lanka? As an Indian citizen, I don’t want GOI to provide any kind of support to Sri Lanka. They don’t deserve this.#SriLanka #SriLankaEconomicCrisis"
43,2022-08-13 14:34:06+00:00,thecow_of_ds,Nobody came for #SriLanka help in #SriLankaCrisis not the #US #IMF #China. Only India did. And @RW_UNP  allows #ChinaSpyShip against #India. What a snake. existence of #SriLanka is reduced as a dual operator now to take benefit from countries who deal with security issue.Pathetic
44,2022-08-13 14:21:24+00:00,Ishara7Ishara,Gota has done nothing. Gota has destroyed the Rajapaksa movement including Basil @GotabayaR @PresRajapaksa @RajapaksaNamal #Sri #SriLanka #SriLankaEconomicCrisis #SriLankaGay #SriLankanmen #srilankanpoliticalcrisis #srilankapresident #SriLankaGay #srilankaprotest
45,2022-08-13 12:37:45+00:00,probo_india,"Sri Lanka allows entry for controversial Chinese ship despite India's concerns.
Via @HindustanTimes 

#SriLankaCrisis #China #ProboOpinions"
46,2022-08-13 12:25:38+00:00,PrabodOfficial,"100,000 MT shipment of crude oil imported from Russia to reach the Island tonight. Another 120,000 MTs of crude oil to arrive in Sri Lanka between Aug 23rd and 29th. Operations at the Sapugaskanda oil refinery to continue next week.
#lka #SriLankaCrisis"
47,2022-08-13 11:59:26+00:00,Ashfark_Ahamed,Pray that nothing happens to your smartphone. Smartphone has become a very scarce and expensive commodity😭 #SriLankaCrisis
48,2022-08-13 11:45:30+00:00,PrabodOfficial,"Instructions given to CPC to take appropriate management decisions on fuel stations not adhering to given guidelines - Minister @kanchana_wij
#lka #SriLankaCrisis"
49,2022-08-13 11:45:02+00:00,PrabodOfficial,"Foreign Ministry allows Harbour Master to grant permission for Chinese ship ""Yuan Wang 5"" to dock at the Hambantota harbour from 16 to 22 August
#lka #SriLankaCrisis"
50,2022-08-13 11:31:19+00:00,Gamika_S,We can easily lend money to IMF If we gather all the money earned through corruption from our beloved politicians and officials. Everyone corrupted මල්ලි  #SriLankaCrisis
51,2022-08-13 11:30:16+00:00,Gianderose1,Where have all those cyclists gone? Bet those bicycle servicing and accessory placed who ripped off new customers when there was no fuel are changing their tune now #SriLankaCrisis #itwasjustafad
52,2022-08-13 10:47:49+00:00,mathan424,"Foreign Ministry allows Harbour Master to grant permission for Chinese ship ""Yuan Wang 5"" to dock at the Hambantota harbour from 16 to 22 August. #YuanWang5 #SriLankaCrisis"
53,2022-08-13 10:25:24+00:00,paulmnav,"Now that #GGG has been cleared of the #Aragalaya , I won't be surprised if new narrative will be "" #srilanka must be protected from the #Fascists "" and ""best to save #lka is #Rajapaksa family!""
#SriLankaProtests #SriLankaEconomicCrisis #srilankanpoliticalcrisis"
54,2022-08-13 10:16:44+00:00,DixitPratap,"Srilanka is the cause of India worry, Leaders are not resolute, not an asset but a liability. Looks like India has no option but to help Srilanka even if it shelters spy ship.#SriLankaEconomicCrisis"
